city_or_county,n_killed,n_injured
Linda Vista,0,0
Lindale,1,1
Linden,7,18
Lindenhurst,1,1
Lindenwold,0,4
Lindon,2,0
Lindsay,3,1
Lindsborg,0,0
Lindsborg (Smolan),0,0
Lindside,0,0
Lindstrom,1,0
Linesville,1,1
Lineville,0,1
Lingle,2,0
Linn,0,1
Linn County,0,0
Linn Grove,0,0
Linthicum,0,0
Linthicum Heights,1,0
Linthicum Heights (Linthicum),0,0
Linton,2,1
Linwood,3,1
Lisbon,0,0
Lisle,1,0
Lisman,0,3
Litchfield,0,3
Litchfield (Harvey Township),2,0
Litchfield Park,0,1
Litchfield Park (Litchfield),0,0
Lithia,0,0
Lithia Springs,7,3
Lithonia,44,33
Lititz,0,2
Little Egg Harbor,0,0
Little Egg Harbor Twp,0,0
Little Elm,2,2
Little Falls,0,0
Little Falls (Belle Prairie Township),1,0
Little Falls (Woodland Park),2,0
Little Ferry,0,0
Little Hocking,1,0
Little Meadows,0,0
Little Mountain,2,1
Little Neck,0,0
Little Orleans,1,2
Little River,4,5
Little River Academy,1,0
Little Rock,169,595
Little Valley,0,0
Little Woods,0,1
Littlefield,2,1
Littlefield (Beaver Dam),0,1
Littleport,0,1
Littlerock,5,2
Littlestown,3,1
Littlestown (White Hall),1,0
Littleton,15,6
Littleton (Highlands Ranch),3,6
Littleton (Lakewood),5,8
Live Oak,5,3
Livermore,5,13
Livermore Falls,0,0
Liverpool,0,0
Liverpool (Salina),1,3
Livingston,10,7
Livingston (Coatopa),1,0
Livingston County,0,0
Livingston Parish,1,1
Livonia,1,8
Lizella,2,3
Lizemores,0,1
Llano,3,0
Lloyd,0,0
Loa (Fremont),0,0
Loachapoka,0,0
Lobelville,0,0
Loch Sheldrake,0,0
Lochearn,0,1
Lochgelly,0,0
Lock Haven,0,1
Lockbourne,1,0
Lockesburg,1,0
Lockhart,1,2
Lockland,3,2
Lockport,7,21
Lockport (Pendleton),0,0
Lockwood,1,3
Locust Fork,1,0
Locust Grove,10,8
Locust Valley,0,1
Lodge Grass,3,2
Lodi,15,15
Logan,9,15
Logan (North Logan),0,1
Logan (West Logan),1,0
Logan County,3,0
Logan Heights,2,0
Logan Township,0,0
Logandale,0,1
Logansport,3,4
Loganton,0,0
Loganville,4,1
Loganville (Walnut Grove),0,1
Loleta,0,1
Lolo,3,0
Loma,0,0
Loma Linda,0,1
Lombard,2,0
Lometa,0,0
Lomira,1,0
Lomita,1,1
Lompoc,2,4
Lompoc (Vandenberg Village),0,0
London,13,10
Londonderry,3,1
Lone Grove,0,2
Lone Jack,1,1
Lone Oak,0,0
Lone Rock,0,0
Lone Tree,3,2
Lone Wolf,1,0
Long,2,0
Long Beach,122,217
Long Beach (Bixby Knolls),0,2
Long Beach (Naples),0,1
Long Beach (North Long Beach),1,0
Long Branch,9,9
Long Grove,0,0
Long Island,0,1
Long Island City,2,4
Long Key (Layton),0,0
Long Pond,0,1
Long Prairie,0,1
Longboat Key,2,0
Longbranch,2,0
Longmeadow,0,0
Longmont,1,6
Longs,11,16
Longview,58,67
Longwood,2,3
Longwood (Wekiva Springs),0,0
Lonoke,2,3
Lonoke County,0,1
Lonsdale,1,1
Lookout Valley,3,1
Loomis,0,1
Lopez Island,2,2
Lorain,23,66
Lorain (Sheffield Twp),0,1
Lorain County,0,1
Loranger,1,2
Lordsburg,0,1
Lore City,0,0
Lorena,0,0
Loris,13,29
Lorman,0,0
Lorraine,0,3
Lorton,2,2
Los Alamitos,1,0
Los Alamos,0,0
Los Alamos (White Rock),0,0
Los Altos,0,0
Los Altos (Los Altos Hills),0,1
Los Angeles,645,560
Los Angeles (Baldwin Hills),2,0
Los Angeles (Boyle Heights),13,10
Los Angeles (Broadway Manchester),1,0
Los Angeles (Century City),0,0
Los Angeles (Commerce),3,1
Los Angeles (East Los Angeles),8,3
Los Angeles (Echo Park),1,2
Los Angeles (Firestone Park),1,0
Los Angeles (Highland Park),1,3
Los Angeles (Hollywood),15,23
Los Angeles (Leimert Park),1,2
Los Angeles (Lincoln Heights),4,1
Los Angeles (Mar Vista),1,1
Los Angeles (Silver Lake),0,1
Los Angeles (Vernon),1,0
Los Angeles (Watts),4,4
Los Angeles (West Los Angeles),0,0
Los Angeles (Westchester),1,1
Los Angeles County,1,0
Los Banos,8,10
Los Cerrillos,0,0
Los Chavez,0,1
Los Fresnos,1,0
Los Gatos,1,2
Los Lunas,6,10
Los Molinos,0,0
Los Osos,0,0
Losantville,1,0
Lost Hills,2,0
Lothian,2,2
Lott,0,0
Loudon,2,0
Loudonville,0,0
Loudoun,2,1
Loudoun County,0,0
Louisa,11,6
Louisburg,3,0
Louise,2,0
Louisiana,0,1
Louisiana Avenue,0,1
Louisville,401,805
Louisville (Anchorage),2,0
Louisville (Hurstbourne),1,0
Louisville (Jeffersontown),0,4
Louisville (Saint Matthews),0,0
Louisville (Shively),3,3
Louisville (Valley Station),0,0
Loup City,0,1
Love,0,0
Lovejoy,0,1
Lovejoy (Brooklyn),2,7
Loveland,11,9
Lovell,0,1
Lovelock,1,4
Loves Park,2,3
Lovington,1,0
Lowden,0,0
Lowell,12,50
Lower Brule,1,1
Lower Kalskag,1,1
Lower Paxton,0,0
Lower Providence,1,0
Lower Swatara,0,0
Lowgap,1,0
Lowmansville,1,0
Lowndes,3,3
Lowndes County,0,2
Lowndesboro,0,1
Lowry City,2,0
Lowville,0,0
Loxahatchee,2,3
Loxahatchee (Loxahatchee Groves),0,0
Loxley,2,1
Loyal,0,0
Loyall,0,0
Loysville,0,0
Luana,0,1
Lubbock,49,165
Lubbock County,0,0
Lucas,1,0
Lucas County,0,0
Lucasville,4,0
Lucedale,4,0
Lucedale (Basin),0,1
Lucerne,2,1
Lucerne Valley,0,0
Ludington,2,0
Ludlow,3,4
Ludlow Falls,1,0
Ludowici,2,1
Lufkin,12,18
Lugoff,3,5
Lula,0,1
Luling,0,2
Lulu,0,1
Lumber Bridge,7,0
Lumberland,0,0
Lumberport,1,0
Lumberton,54,59
Lumberton Township,0,0
Lumpkin,1,1
Lumpkin County,2,0
Lunenburg,0,1
Luray,0,1
Lusby,2,1
Lusk,0,1
Luther,1,0
Lutherville Timonium,2,3
Luttrell,1,1
Lutz,1,2
Luverne,0,2
Luxora,0,1
Luzerne,2,1
Luzerne County,0,1
Lycoming,0,2
Lycoming County,0,0
Lydia,0,1
Lyerly,1,0
Lykens,0,0
Lyle,0,0
Lyles,1,1
Lyman,1,1
Lynbrook,0,0
Lynch,0,0
Lynchburg,22,52
Lynden,0,1
Lyndhurst,1,3
Lyndonville,0,0
Lyndora,0,1
Lynn,15,43
Lynn Center,0,0
Lynn Haven,0,0
Lynnfield,2,0
Lynnwood,5,7
Lynwood,19,5
Lynwood (LYNWOOD),0,0
Lyon,4,2
Lyon County,0,1
Lyons,4,3
Lytle,0,0
Mabank,4,2
Mabank (Gun Barrel City),1,0
Mabelvale,1,3
Maben (Pierpont),0,0
Mableton,11,3
Mabton,1,1
Macclenny,2,7
Macclesfield,1,0
Machesney Park,1,6
Machias,0,1
Machiasport,0,2
Macks Creek,0,0
Macomb,1,0
Macomb (Macomb Township),3,4
Macomb County,0,0
Macomb Township,2,0
Macon,99,336
Macon (Prairie Point),1,0
Macoupin,0,0
Macungie,3,1
Macy,0,0
Mad River,1,1
Madbury,0,0
Madeira,0,1
Madelia,1,0
Madera,16,24
Madera County,0,0
Madill,1,3
Madill (Oakland),0,0
Madison,91,229
Madison (Fitchburg),1,6
Madison (Monona),0,2
Madison (North Madison),0,0
Madison County,8,7
Madison County.,0,1
Madison Heights,4,5
Madison Parish,0,1
Madisonville,8,11
Madras,1,4
Madrid,0,0
Magalia,0,0
Magee,3,0
Maggie Valley,1,0
Magna,11,3
Magnolia,13,12
Magnolia Springs,0,0
Mahanoy City,0,0
Mahanoy City (Trenton),0,1
Mahaska,0,1
Mahaska County,0,1
Mahnomen,3,1
Mahomet,0,2
Mahoning,0,0
Mahopac,1,0
Mahtomedi,1,0
Mahwah,0,0
Maiden,3,1
Maineville,0,0
Maineville (Hamilton Township),2,1
Maitland,1,0
Maitland (Eatonville),0,0
Maize,1,0
Major,0,0
Makawao,1,3
Malabar,2,1
Malad,0,0
Malad City,0,1
Malaga,0,0
Malakoff,1,1
Malcolm,0,1
Malden,2,6
Malheur County,2,0
Malibu,1,1
Malin,1,0
Malone,1,2
Malta,1,1
Malvern,3,1
Malverne,0,1
Mamaroneck,0,0
Mammoth,2,0
Mamou,1,1
Man,0,0
Manassas,6,30
Manassas (Manassas Park),0,0
Manassas Park,0,0
Manatee,4,12
Manatee County,3,0
Mancelona,1,1
Manchaca,0,0
Manchester,30,73
Manchester Township (Manchester),1,0
Mandan,4,4
Mandeville,3,1
Mangham,2,0
Mangonia Park,6,1
Manhattan,34,103
Manhattan (Wilton Center),0,0
Manheim,1,3
Manila,1,0
Manistee,1,0
Manistee County,0,0
Manitou Springs,0,3
Manitowoc,1,2
Manitowoc County,0,1
Mankato,6,8
Manlius,0,0
Mannford,2,0
Manning,2,0
Mannington,0,1
Manokotak,1,1
Manor,1,1
Manor Township,0,0
Manorhaven,0,0
Manorville,0,1
Mansfield,23,26
Mansfield Center,0,1
Manson,5,0
Mantachie,3,0
Manteca,5,8
Manteno,1,1
Manteo,0,0
Manton,0,0
Mantua,0,0
Manvel,4,2
Manville,0,3
Many,3,0
Many (Sabine),1,0
Maple City,0,1
Maple Falls,0,1
Maple Grove,0,1
Maple Heights,5,15
Maple Hill,0,1
Maple Park,0,0
Maple Shade,4,1
Mapleton,6,1
Maplewood,8,6
Maquoketa,3,2
Maramec,0,0
Marana,1,0
Marathon,1,1
Marathon (Duck Key),1,0
Marathon (Grassy Key),0,0
Marathon County,0,1
Marble Falls,0,2
Marble Falls (Granite Shoals),0,0
Marble Hill,1,0
Marblehead,0,0
Marbletown,0,0
Marco Island,1,0
Marcola,0,0
Marcus Hook (Boothwyn),1,0
Marcus Hook (Linwood),0,1
Marcy,0,0
Marengo,1,2
Marengo County,0,2
Margarettsville,0,1
Margaretville,0,1
Margate,3,8
Marianna,12,9
Maricopa,8,4
Maricopa County,0,1
Maries,0,0
Marietta,36,33
Marin,0,0
Marin City,0,2
Marin County,1,0
Marina,1,0
Marina Del Rey,3,0
Marine,0,1
Marine On Saint Croix,0,0
Mariners Harbor,1,0
Marinette,2,2
Maringouin,1,3
Marion,49,87
Marion Center,2,1
Marion County,7,7
Marion Junction,0,1
Marion Oaks,0,0
Mariposa,0,2
Marked Tree,2,1
Markham,5,12
Markleville,0,0
Marks,1,0
Marksville,5,2
Marland,1,0
Marlboro,2,2
Marlboro (Marlborough),0,1
Marlboro County,0,1
Marlborough,0,1
Marlborough (Marlboro),0,0
Marlette,0,0
Marlin,0,2
Marlinton,3,0
Marlow,0,0
Marlton,0,0
Marlton (Evesham Twp),0,0
Marlton (Evesham),0,0
Marmaduke,2,1
Marmet,0,0
Marquesas Keys,0,0
Marquette,6,1
Marrero,35,81
Marrrero,0,0
Mars,1,0
Mars Hill,0,1
Marshall,25,14
Marshall County,2,3
Marshalltown,3,2
Marshfield,5,6
Marshville,1,2
Marsing,0,0
Marstons Mills,0,0
Martell,0,0
Martha,0,0
Marthasville,0,0
Martin,9,6
Martin City,1,0
Martin County,1,3
Martinez,3,7
Martinez (Pacheco),1,1
Martins Ferry,0,1
Martinsburg,5,4
Martinsville,6,18
Martinton,0,0
Mary Esther,0,2
Maryland Heights,1,3
Maryneal,2,0
Marysville,12,17
Marysville (Linda),1,3
Marysville (Loma Rica),0,0
Marysville (Tulalip),1,2
Maryvale,1,0
Maryville,4,9
Masardis,0,0
Mascotte,1,4
Mascoutah,0,1
Mashantucket,1,0
Mashpee,0,1
Mason,3,3
Mason City,3,4
Mason County,1,1
Masontown,1,1
Masonville,0,0
Maspeth,0,2
Massac,0,0
Massapequa,0,2
Massena,0,3
Massillon,12,7
Mastic,0,4
Mastic Beach,4,1
Masury,0,2
Matamoras,0,0
Matawan,0,1
Matawan (Aberdeen),0,1
Mather,1,0
Mathews,1,1
Mathis,3,2
Mathiston,1,1
Mattapan,0,0
Mattapoisett,0,1
Mattawa,0,0
Mattawa (Desert Aire),0,1
Mattawamkeag,0,1
Mattawan,0,1
Matteson,0,0
Matthews,2,6
Matthews (Weddington),1,0
Matthews (Wesley Chapel),0,0
Mattituck,0,0
Mattoon,1,4
Mattydale,0,1
Maud,1,1
Maui,1,0
Mauldin,1,2
Maumee,0,0
Maumelle,3,1
Maupin,0,0
Maurepas,0,1
Maurice,0,2
Mauriceville,1,1
Maury,1,2
Max,0,2
Maxatawny,0,0
Maxton,11,6
Maxwell,0,1
May Creek,0,1
Maybrook,1,1
Mayer,1,0
Mayes,1,0
Mayes County,0,4
Mayetta,0,0
Mayfield,5,7
Mayfield Heights,2,0
Mayflower,3,1
Maynard,1,0
Maynardville,2,0
Mayo,0,1
Mayport,1,0
Mays Landing,3,5
Maysel,1,0
Maysville,2,11
Maytown,1,0
Mayville,0,0
Maywood,25,13
Mazeppa,0,0
Mazomanie,3,0
Mc Bee (Mcbee),0,0
Mc Calla,1,4
Mc Calla (McCalla),0,1
Mc Calla (Mccalla),3,0
Mc Carr (Mccarr),0,1
Mc Clellandtown (Mcclellandtown),0,1
Mc Clellanville (Mcclellanville),1,2
Mc Clure (East Cape Girardeau),0,0
Mc Clure (Mcclure),0,1
Mc Coll,0,2
Mc Coll (Mccoll),1,0
Mc Comb,1,0
Mc Connellsburg,0,1
Mc Cook (Mccook),0,0
Mc Cool,1,0
Mc Cool (Mccool),1,5
Mc Cordsville (Mccordsville),0,1
Mc Cormick,2,2
Mc David,0,0
Mc Dermitt (Mcdermitt),2,0
Mc Donald,2,0
Mc Donald (Mcdonald),1,0
Mc Dowell,1,0
Mc Ewen (Mcewen),0,1
Mc Farland,0,2
Mc Farland (Mcfarland),3,3
Mc Gehee (Mcgehee),0,0
Mc Kee,1,3
Mc Kees Rocks (McKees Rocks),1,0
Mc Kees Rocks (Mckees Rocks),11,15
Mc Kenney (Mckenney),0,1
Mc Kenzie,0,0
Mc Laughlin (Kenel),0,0
Mc Lean (McLean),0,0
Mc Lean (Mclean),6,2
Mc Leansboro,1,0
Mc Leansboro (Mcleansboro),0,0
Mc Sherrystown (Mcsherrystown),0,1
McAlisterville,1,0
McAllen,0,0
McComb,0,1
McCracken,0,0
McCreary,0,1
McDowell,0,0
McDowell County,0,1
McFarland,0,1
McHenry,1,1
McKee,0,1
McKees Rocks,1,0
McKeesport,0,1
McKenzie,1,1
McKenzie County,0,0
McKinney,1,0
McLeansville,0,0
McLennan County,0,0
McMinn,0,1
McMinnville,0,0
Mcadoo,2,0
Mcalester,3,8
Mcalester (Bache),3,0
Mcallen,11,11
Mccall,0,0
Mccalla,2,0
Mccarthy,0,0
Mccomb,12,14
Mccomb (McComb),1,0
Mccormick,1,0
Mccracken,0,1
Mccracken County,0,1
Mccreary County,2,0
Mccurtain,1,0
Mcdonald,2,1
Mcdonald County,1,0
Mcdonough,10,4
Mcdonough (McDonough),0,1
Mcdowell,0,1
Mcdowell County,0,1
Mcfarland,0,0
Mcgraws,1,1
Mcgregor,0,0
Mchenry,0,4
Mchenry (Holiday Hills),1,0
Mcintosh,1,0
Mckee,2,0
Mckees Rocks,1,0
Mckeesport,31,51
Mckeesport (Port Vue),0,1
Mckeesport (White Oak),0,0
Mckenzie,0,2
Mckenzie County,0,0
Mckinley,0,1
Mckinleyville,1,1
Mckinney,7,2
Mclean,0,0
Mcleansville,1,0
Mclennan County,3,0
Mcloud,1,0
Mcminn,0,3
Mcminn County,5,2
Mcminnville,6,7
Mcnairy,0,0
Mcnairy County,0,1
Mcpherson,1,1
Mcpherson County,1,1
Meacham,2,0
Mead,1,0
Meade,0,0
Meadow Bridge,1,0
Meadow Bridge (Elton),1,0
Meadow Vista,0,1
Meadowview,1,0
Meadville,2,3
Meally,0,0
Mears,0,1
Mebane,2,0
Mecca,1,3
Mechanicsburg,3,3
Mechanicsburg (Roby),0,0
Mechanicsburg (Silver Spring Township),0,0
Mechanicsburg (Upper Allen),0,0
Mechanicstown,0,0
Mechanicsville,3,3
Mechanicville,2,0
Mecosta,0,2
Mecosta County,0,0
Medford,18,20
Medford (Gordon Heights),0,4
Media,0,1
Mediapolis,1,0
Medical Lake,0,2
Medicine Bow,0,0
Medicine Lodge,1,0
Medina,6,7
Medina County,1,3
Medon,0,0
Medora,0,0
Medway,0,0
Meeker,1,0
Meeteetse,0,2
Meherrin,1,0
Meigs,0,3
Melba,1,1
Melber,0,1
Melbourne,10,42
Melbourne (West Melbourne),1,3
Melbourne Beach,1,0
Melcroft,5,0
Meldrim,0,0
Melrose,2,2
Melrose Park,5,3
Melrose Park (Northlake),0,1
Melville,1,0
Melvin,0,0
Melvindale,3,0
Memphis,623,1690
Memphis (Bartlett),1,1
Memphis (Hickory Hill),4,1
Memphis (Riley Township),1,0
Mena,1,0
Menahga,2,0
Menands,1,0
Menasha,4,1
Mendham,0,0
Mendocino,1,0
Mendon,0,5
Mendota,5,1
Menifee,5,0
Menlo (Cloudland),1,1
Menlo Park,1,1
Menoken,0,0
Menominee,1,0
Menomonee Falls,2,2
Menomonie,1,1
Mentone,0,0
Mentor,1,0
Mentor-on-the-Lake,0,0
Mequon,0,1
Meraux,0,0
Merced,34,45
Merced County,0,1
Mercedes,0,1
Mercer,3,1
Mercer County,1,1
Mercer Island,0,0
Mercersburg,0,0
Merchantville,1,0
Meredith,1,0
Meredosia,0,1
Meriden,1,23
Meridian,52,174
Meridianville,2,1
Meriwether,0,1
Merkel,0,3
Merlin,0,0
Mermentau,0,0
Merrick,0,2
Merrick (North Merrick),0,0
Merrill,4,0
Merrill (Corning),0,1
Merrillville,15,11
Merrimack,2,2
Merritt,1,0
Merritt Island,3,4
Merry Hill,0,3
Merryville,0,0
Mesa,58,53
Mesa County,0,0
Meservey,0,0
Mesilla,0,0
Mesilla Park,0,0
Mesopotamia,1,1
Mesquite,15,22
Meta,0,0
Metairie,29,70
Metamora,0,1
Metcalfe County,0,1
Methuen,2,5
Metolius,1,0
Metropolis,3,4
Metter,4,1
Metuchen,0,0
Mexia,1,0
Mexican Hat,1,0
Mexico,2,7
Mexico Beach,0,0
Meyersdale,0,0
Miami,331,591
Miami (Coconut Grove),0,8
Miami (Cutler Bay),1,2
Miami (Doral),2,4
Miami (El Portal),0,1
Miami (Goulds),2,5
Miami (Kendall),5,6
Miami (Miami Shores),2,1
Miami (Miami Springs),0,3
Miami (North Miami),1,4
Miami (Palmetto Bay),1,1
Miami (Perrine),0,1
Miami (Pinecrest),2,0
Miami (Richmond Heights),0,0
Miami (South Miami Heights),0,0
Miami (South Miami),0,1
Miami (Sweetwater),1,0
Miami (Virginia Gardens),0,0
Miami (Westchester),2,0
Miami Beach,16,30
Miami Gardens,45,115
Miami Shores,0,0
Miami Springs,1,0
Miami Township,1,0
Miami-Dade,10,27
Miami-dade,29,61
Miamisburg,3,3
Miamiville,0,0
Micanopy,3,0
Michigan City,11,19
Michigan City (Town Of Pines),0,0
Michigan City (Trail Creek),1,0
Middle Island,1,4
Middle Point,0,1
Middle River,6,12
Middle Smithfield Township,0,0
Middle Township,0,1
Middle Village,1,1
Middleboro,0,1
Middleboro (Middleborough),0,0
Middlebourne,0,0
Middleburg,3,10
Middleburg Heights,1,0
Middleburgh,0,0
Middlebury,0,0
Middlebury (Weybridge),0,0
Middlefield,1,1
Middleport,0,2
Middleport (Royalton),0,0
Middlesboro,1,1
Middlesex,2,1
Middlesex County,1,0
Middleton,1,1
Middletown,20,76
Middletown (Liberty Township),1,1
Middletown (Londonderry),0,0
Middletown (Scotchtown),1,0
Midfield,0,0
Midland,21,16
Midland City,0,0
Midland County,0,1
Midlothian,4,3
Midlothian (Crestwood),1,0
Midvale,9,13
Midway,2,4
Midway (Pemberton),0,1
Midway Park,0,1
Midwest City,3,3
Mifflintown,0,0
Milaca,0,0
Milan,5,8
Milan (York Twp),0,1
Miles,1,0
Miles City,0,0
Miles City (Moon Creek),1,1
Milfay,0,0
Milford,23,25
Milford (Slaughter Beach),0,0
Milford Center,0,1
Mililani,0,3
Mill City,0,1
Mill Creek,0,3
Mill Valley,3,0
Milladore,0,0
Millard County,0,1
Millbrae,0,2
Millbrook,3,7
Millburn,0,0
Millbury,0,0
Millcreek,1,2
Millcreek Twnshp,1,0
Mille Lacs,0,1
Milledgeville,16,24
Millen,2,1
Miller,3,0
Miller County,2,1
Miller Place,0,0
Millersburg,1,1
Millersport,0,1
Millersville,2,1
Millerton,1,0
Millheim,0,0
Milliken,0,3
Millington,2,11
Millinocket,1,1
Millis,1,0
Mills,0,1
Mills River,0,1
Millsboro,3,2
Millsboro (Long Neck),0,0
Millstadt,1,0
Millston,1,0
Milltown,0,0
Millvale,0,1
Millville,12,48
Milmay,0,0
Milpitas,6,1
Milton,16,19
Milton (Pace),1,0
Milton Freewater,0,1
Milwaukee,486,1570
Milwaukee (Brown Deer),1,3
Milwaukee (Glendale),1,1
Milwaukee (Greenfield),1,2
Milwaukee (Shorewood),0,0
Milwaukee (Wauwatosa),2,5
Milwaukee (West Allis),9,6
Milwaukee (Whitefish Bay),0,1
Milwaukee County,0,0
Milwaukie,1,1
Mims,3,1
Minatare,0,2
Minden,2,8
Mineapolis,0,0
Mineola,2,2
Miner,0,1
Mineral,1,1
Mineral County,0,1
Mineral Ridge,3,0
Mineral Wells,5,1
Minersville,0,0
Minerva,1,1
Minford,0,0
Mingo,0,0
Mingo Junction,0,1
Minneapolis,149,408
Minneapolis (Blaine),1,1
Minneapolis (Bloomington),2,4
Minneapolis (Brooklyn Center),2,13
Minneapolis (Brooklyn Park),2,6
Minneapolis (Columbia Heights),3,2
Minneapolis (Coon Rapids),2,4
Minneapolis (Crystal),2,6
Minneapolis (Edina),0,1
Minneapolis (Fridley),3,0
Minneapolis (Golden Valley),0,1
Minneapolis (New Hope),0,2
Minneapolis (Plymouth),5,2
Minneapolis (Richfield),1,4
Minneapolis (Robbinsdale),0,2
Minneapolis (Saint Anthony),1,0
Minneapolis (Spring Lake Park),0,1
Minneapolis (St Louis Park),0,0
Minnehaha,0,0
Minneola,1,0
Minneota (Saint Leo),0,0
Minnetonka,2,3
Minocqua,0,0
Minong,1,0
Minooka,0,0
Minot,2,27
Minotola,0,0
Minster,0,1
Mint Hill,0,1
Minturn,0,0
Mira Loma,2,0
Mira Loma (Jurupa Valley),0,0
Miramar,6,13
Miramar Beach,0,0
Miranda,0,1
Mishawaka,9,8
Missaukee,1,0
Mission,4,5
Mission (Alton),1,0
Mission (Fairway),1,0
Mission (Palmview),5,7
Mission Bend,1,0
Mission Hills,0,0
Mission Viejo,7,0
Mississippi,0,1
Mississippi County,0,1
Missoula,12,9
Missoula County,0,0
Missouri City,10,11
Mitchell,3,4
Mitchellville,0,1
Moab,0,0
Mobeetie,0,0
Moberly,11,2
Mobile,166,304
Mobile (Chickasaw),1,3
Mobile (Prichard),29,20
Mobile (Whistler),4,1
Mobridge,0,0
Mocksville,0,1
Modesto,50,97
Modoc,1,1
Moffat,0,2
Mogadore,0,1
Mohave,0,0
Mohave Valley,3,1
Mohawk,6,4
Mohegan Lake,0,0
Mohican Township,0,1
Mohnton,1,0
Mojave,2,2
Mokena,0,1
Molalla,2,3
Molina,0,3
Moline,2,10
Molino,1,0
Momence,0,5
Monaca,2,0
Moncks Corner,8,14
Moncure,0,1
Mondovi,0,0
Monee,4,1
Monessen,4,10
Moneta,4,1
Monett,1,0
Moniteau,0,0
Monkton,1,0
Monmouth,2,1
Monmouth County,0,1
Monmouth Junction,0,0
Monon,1,0
Monona,0,0
Monona County,0,1
Monongahela,1,3
Monongalia,1,1
Monongalia County,6,2
Monroe,68,100
Monroe (Frenchtown),0,0
Monroe (Kiryas Joel),0,1
Monroe (Richwood),0,4
Monroe City,0,2
Monroe County,7,7
Monroe Township,2,4
Monroe Township (Jamesburg),0,0
Monroe Township (Monroe),0,0
Monroeton,0,0
Monroeton (Monroe),1,1
Monroeville,2,12
Monrovia,4,8
Monson,0,1
Mont Alto,0,0
Mont Belvieu,0,0
Mont Vernon,0,0
Montague,1,2
Montague Township,0,0
Montauk,0,1
Montcalm,1,0
Montclair,7,11
Monte Vista,1,1
Montebello,14,5
Montegut,0,1
Montepelier,0,0
Monterey,4,4
Monterey County,1,0
Monterey Park,4,1
Montesano,0,0
Montevallo,1,3
Montezuma,2,3
Montezuma Creek,1,0
Montfort,2,1
Montgomery,188,344
Montgomery (Chisolm),0,1
Montgomery City,1,0
Montgomery County,9,7
Montgomery Creek,0,1
Montgomery Village,4,0
Monticello,29,25
Montour Falls,1,0
Montoursville,5,1
Montpelier,3,0
Montrose,3,6
Montrose County,0,0
Montvale,0,0
Montville,2,1
Monument,3,2
Moody,0,2
Moonachie,2,0
Moonville,0,0
Moore,3,2
Moore County,0,0
Moorefield,1,0
Mooresboro,2,2
Mooresburg,0,1
Moorestown,1,1
Mooresville,2,13
Mooreville,1,2
Moorhead,2,5
Mooringsport,2,0
Moose,0,0
Moose Pass,0,0
Moose River,0,0
Moosic,0,0
Mora,1,1
Moraga,0,0
Moraine,1,0
Moran,1,0
Moravia (Sempronius),0,0
Moreauville,1,0
Morehead,7,2
Morehead City,2,1
Morehouse,0,1
Morenci,1,3
Moreno Valley,31,32
Moretown,0,1
Morgan,2,6
Morgan City,3,7
Morgan City (Bayou Vista),0,0
Morgan County,1,0
Morgan Hill,0,2
Morganfield,2,2
Morganfield (Boxville),2,0
Morganton,7,4
Morgantown,13,23
Morgantown (Bean Blossom),0,1
Morgantown (Sabraton),0,1
Morgantown (Westover),0,1
Moriah,0,1
Moriarty,1,1
Morning View,3,0
Morocco,1,0
Morongo Valley,0,1
Morrill,1,0
Morrilton,1,0
Morris,7,1
Morris Plains,2,0
Morrisdale,0,1
Morrison,1,4
Morristown,3,9
Morrisville,3,12
Morro Bay,0,0
Morrow,5,7
Morrow County,1,0
Morton,2,4
Morton Grove,2,0
Morven,3,4
Moscow,5,3
Moscow Mills,0,0
Moses Lake,8,13
Mosheim,0,1
Mosier,0,0
Mosinee,0,0
Moss Beach,0,1
Moss Bluff,0,0
Moss Landing,0,1
Moss Point,7,39
Mott,0,0
Moulton,2,4
Moultrie,30,52
Mound Bayou,0,1
Mound City,0,1
Mound Valley,0,2
Moundridge,4,0
Mounds,1,8
Mounds View,0,1
Moundsville,0,0
Moundville,5,1
Mount Airy,9,7
Mount Angel,2,0
Mount Bethel,1,0
Mount Carmel,1,0
Mount Carmel (Mt Carmel),0,2
Mount Clemens,1,7
Mount Croghan,0,1
Mount Dora,4,9
Mount Eden,2,0
Mount Ephraim,0,0
Mount Gilead,2,1
Mount Gretna,2,0
Mount Hamilton,0,0
Mount Hermon,0,0
Mount Holly,6,3
Mount Holly (Westampton),0,0
Mount Holly Township,0,0
Mount Hood Parkdale (Parkdale),1,0
Mount Hope,4,0
Mount Ida,1,0
Mount Jackson,1,0
Mount Jewett,0,0
Mount Joy,0,0
Mount Juliet,5,2
Mount Juliet (Mt Juliet),0,1
Mount Laurel,0,6
Mount Laurel Township,0,1
Mount Lookout,0,1
Mount Morris,9,14
Mount Morris (Tuscarora),0,0
Mount Olive,6,8
Mount Olive Township,1,0
Mount Oliver,0,1
Mount Olivet,1,0
Mount Orab,0,0
Mount Pleasant,13,16
Mount Pleasant (Mt Pleasant),1,1
Mount Pocono,0,4
Mount Prospect,1,1
Mount Rainier,1,0
Mount Shasta,3,0
Mount Sherman,0,1
Mount Sidney,2,0
Mount Sinai,0,0
Mount Sterling,2,0
Mount Sterling (Mt Sterling),0,2
Mount Ulla,0,1
Mount Vernon,35,53
Mount Vernon (Mt Vernon),0,1
Mount Washington,4,1
Mount Wolf,0,0
Mount Zion,1,0
Mountain Brook,0,0
